timestamp,frame,track_id,class,confidence,center_x,center_y,displacement_px,relative_to_piv_px,status
1788185484.087,1,1,Class_67,0.866,400.0,503.5,0.00,,INITIALIZING
1788185484.087,1,2,Class_66,0.798,1472.0,533.5,0.00,,INITIALIZING
1788185485.665,2,1,Class_67,0.879,408.0,502.0,0.00,,INITIALIZING
1788185485.665,2,2,Class_66,0.827,1470.0,534.5,0.00,,INITIALIZING
1788185492.903,3,1,Class_67,0.855,396.5,503.5,0.00,,INITIALIZING
1788185492.903,3,2,Class_66,0.773,1472.5,534.5,0.00,,INITIALIZING
1788185493.504,4,1,Class_67,0.792,446.5,505.0,0.00,,INITIALIZING
1788185493.504,4,2,Class_66,0.827,1469.0,533.5,0.00,,INITIALIZING
1788185498.231,5,1,Class_67,0.888,401.0,504.0,0.00,,INITIALIZING
1788185498.231,5,2,Class_66,0.759,1468.5,534.0,0.00,,INITIALIZING
1788185499.433,6,1,Class_67,0.854,389.0,505.0,0.00,,INITIALIZING
1788185499.433,6,2,Class_66,0.789,1464.0,534.5,0.00,,INITIALIZING
1788185499.800,7,1,Class_67,0.864,381.0,502.5,0.00,,INITIALIZING
1788185499.800,7,2,Class_66,0.808,1463.0,534.5,0.00,,INITIALIZING
1788185500.016,8,1,Class_67,0.725,381.5,503.5,0.00,,INITIALIZING
1788185500.016,8,2,Class_66,0.844,1464.0,533.5,0.00,,INITIALIZING
1788185501.107,9,1,Class_67,0.813,378.5,503.5,0.00,,INITIALIZING
1788185501.107,9,2,Class_66,0.797,1463.0,532.5,0.00,,INITIALIZING
1788185501.447,10,1,Class_67,0.795,379.0,503.5,0.00,,INITIALIZING
1788185501.447,10,2,Class_66,0.771,1461.0,533.0,0.00,,INITIALIZING
1788185501.866,11,-1,PIV,0.294,1831.0,147.5,0.00,,INITIALIZING
1788185501.866,11,-2,PIV,0.252,497.5,630.5,0.00,,INITIALIZING
1788185502.044,12,2,Class_63,0.341,1341.5,490.5,0.00,,INITIALIZING
1788185502.397,13,6,PIV,0.360,494.5,624.0,0.00,,INITIALIZING
1788185502.677,14,2,Class_73,0.538,1299.0,460.5,0.00,,INITIALIZING
1788185503.307,15,8,Class_66,0.449,1663.5,449.5,0.00,,INITIALIZING
1788185503.307,15,2,Class_73,0.521,1290.5,455.5,0.00,,INITIALIZING
1788185504.051,16,8,Class_66,0.500,1672.5,446.5,0.00,,INITIALIZING
1788185505.808,17,8,Class_66,0.528,1675.5,446.5,0.00,,INITIALIZING
1788185506.286,18,8,Class_66,0.424,1676.0,455.0,0.00,,INITIALIZING
1788185506.286,18,2,Class_73,0.430,1298.5,455.5,0.00,,INITIALIZING
1788185510.840,19,8,Class_66,0.296,1677.0,458.5,0.00,,INITIALIZING
1788185510.840,19,14,Class_63,0.338,1309.0,457.0,0.00,,INITIALIZING
1788185510.840,19,2,Class_73,0.455,1303.0,456.0,0.00,,INITIALIZING
1788185511.367,20,8,Class_66,0.396,1679.0,464.0,0.00,,INITIALIZING
1788185511.367,20,14,Class_73,0.681,1306.5,462.0,0.00,,INITIALIZING
1788185512.183,21,14,Class_73,0.684,1307.0,462.5,0.00,,INITIALIZING
1788185512.183,21,2,Class_63,0.307,1305.0,459.5,0.00,,INITIALIZING
1788185512.427,22,14,Class_73,0.782,1308.0,462.5,0.00,,INITIALIZING
1788185512.427,22,16,PIV,0.324,1033.5,550.0,0.00,,INITIALIZING
1788185512.620,23,14,Class_63,0.789,1305.0,465.5,0.00,,INITIALIZING
1788185512.972,24,14,Class_63,0.712,1304.0,464.0,0.00,,INITIALIZING
1788185513.272,25,16,Class_59,0.631,962.5,533.5,0.00,,INITIALIZING
1788185513.838,26,16,Class_59,0.557,956.0,531.0,0.00,,INITIALIZING
1788185514.898,27,16,Class_59,0.702,950.0,530.5,0.00,,INITIALIZING
1788185515.310,28,16,Class_59,0.274,939.0,529.5,0.00,,INITIALIZING
1788185515.680,29,17,Class_15,0.487,133.0,453.5,0.00,,INITIALIZING
1788185516.018,30,17,Class_15,0.414,160.0,516.0,0.00,,INITIALIZING
1788185516.408,31,16,PIV,0.951,984.0,538.0,0.00,,INITIALIZING
1788185516.842,32,16,PIV,0.951,1003.0,539.0,0.00,,INITIALIZING
1788185517.163,33,16,PIV,0.936,1037.5,539.0,0.00,,INITIALIZING
1788185517.415,34,14,PIV,0.824,1304.5,729.5,0.00,,INITIALIZING
1788185517.751,35,14,PIV,0.850,1302.0,738.5,0.00,,INITIALIZING
1788185518.093,36,14,PIV,0.863,1299.0,742.0,0.00,,INITIALIZING
1788185518.418,37,14,PIV,0.816,1300.5,741.0,0.00,,INITIALIZING
1788185518.566,38,14,PIV,0.917,1243.0,733.5,0.00,,INITIALIZING
1788185518.752,39,14,PIV,0.908,1222.0,730.0,0.00,,INITIALIZING
1788185518.901,40,14,PIV,0.919,1214.5,728.5,0.00,,INITIALIZING
1788185519.065,41,14,PIV,0.678,1252.5,746.0,0.00,,INITIALIZING
1788185519.214,42,14,PIV,0.691,1268.5,753.0,0.00,,INITIALIZING
1788185519.334,43,14,PIV,0.678,1272.5,755.5,0.00,,INITIALIZING
1788185519.451,44,14,PIV,0.562,1271.0,756.5,0.00,,INITIALIZING
1788185519.577,45,14,PIV,0.676,1280.0,760.5,0.00,,INITIALIZING
1788185519.709,46,14,PIV,0.616,1282.5,759.5,0.00,,INITIALIZING
1788185519.841,47,14,PIV,0.718,1284.0,759.5,0.00,,INITIALIZING
1788185519.963,48,14,PIV,0.568,1283.0,759.5,0.00,,INITIALIZING
1788185520.088,49,14,PIV,0.829,1210.0,767.5,0.00,,INITIALIZING
1788185520.238,50,14,PIV,0.813,1183.0,769.0,0.00,,INITIALIZING
1788185520.364,51,14,PIV,0.830,1174.0,771.5,0.00,,INITIALIZING
1788185520.525,52,14,PIV,0.830,1171.5,771.5,0.00,,INITIALIZING
1788185520.675,53,14,PIV,0.805,1171.0,772.5,0.00,,INITIALIZING
1788185520.804,54,14,PIV,0.813,1171.0,772.5,0.00,,INITIALIZING
